province_state,confirmed,recovered,deaths,active,incident_rate,date,n,s(t),i(t),r(t)
alabama,365747,202137.0,4872,158738.0,7459.375895463867,2021-01-02,4903185.0,4537438.0,158738.0,207009.0
alaska,47019,7165.0,206,39648.0,6427.355801762024,2021-01-02,731545.0,684526.0,39648.0,7371.0
american samoa,0,,0,,0.0,2021-01-02,,,,
arizona,530267,76934.0,9015,444318.0,7285.171274003372,2021-01-02,7278717.0,6748450.0,444318.0,85949.0
arkansas,229442,199247.0,3711,26484.0,7602.945718144717,2021-01-02,3017804.0,2788362.0,26484.0,202958.0
california,2434971,,26298,,6164.469662969861,2021-01-02,39500088.94726075,37065117.94726075,,
colorado,362438,18102.0,5435,314186.0,5854.774381044729,2021-01-02,6190469.1182194855,5828031.1182194855,314186.0,23537.0
connecticut,185708,9800.0,5995,169913.0,5208.781228551867,2021-01-02,3565287.0,3379579.0,169913.0,15795.0
delaware,58064,18851.0,1065,38148.0,5962.841099075341,2021-01-02,973764.0,915700.0,38148.0,19916.0
diamond princess,49,,0,,,2021-01-02,,,,
district of columbia,29252,20941.0,788,7523.0,4144.816358223675,2021-01-02,705748.9999999999,676496.9999999999,7523.0,21729.0
florida,1323315,,21673,,6161.333477544678,2021-01-02,21477737.0,20154422.0,,
georgia,677589,,10958,,6381.859326881862,2021-01-02,10617423.0,9939834.0,,
grand princess,103,,3,,,2021-01-02,,,,
guam,7326,7047.0,122,157.0,4460.844308861407,2021-01-02,164229.0,156903.0,157.0,7169.0
hawaii,22397,11958.0,289,10150.0,1581.8520318220856,2021-01-02,1415872.0,1393475.0,10150.0,12247.0
idaho,141077,58649.0,1436,80992.0,7894.340720678879,2021-01-02,1787065.0,1645988.0,80992.0,60085.0
illinois,963389,,17978,,7602.6089699341555,2021-01-02,12671821.0,11708432.0,,
indiana,517773,345474.0,9468,162831.0,7690.970837401457,2021-01-02,6732219.0,6214446.0,162831.0,354942.0
iowa,282980,241229.0,3898,37853.0,8969.056154063142,2021-01-02,3155070.0,2872090.0,37853.0,245127.0
kansas,229822,4612.0,2892,222604.0,7898.496351577619,2021-01-02,2909693.0576424985,2679871.0576424985,222604.0,7504.0
kentucky,265261,36740.0,2623,225898.0,5937.341430315066,2021-01-02,4467673.0,4202412.0,225898.0,39363.0
louisiana,315275,263712.0,7488,44075.0,6781.866436757577,2021-01-02,4648794.0,4333519.0,44075.0,271200.0
maine,24902,11374.0,352,13176.0,1852.535165584,2021-01-02,1344212.0000000002,1319310.0000000002,13176.0,11726.0
maryland,280219,9358.0,5942,264919.0,4635.028648555663,2021-01-02,6045680.0,5765461.0,264919.0,15300.0
massachusetts,375178,261672.0,10522,101083.0,5443.276557152025,2021-01-02,6892502.999999999,6517324.999999999,101083.0,272194.0
michigan,528621,318389.0,13018,197214.0,5293.166809137249,2021-01-02,9986857.0,9458236.0,197214.0,331407.0
minnesota,415302,397080.0,5382,12840.0,7363.9911256621,2021-01-02,5639632.0,5224330.0,12840.0,402462.0
mississippi,218386,167263.0,4816,46307.0,7337.871860582249,2021-01-02,2976149.0,2757763.0,46307.0,172079.0
missouri,445019,397080.0,5747,42192.0,7250.903798789982,2021-01-02,6137428.0,5692409.0,42192.0,402827.0
montana,81555,74991.0,961,5603.0,7630.677278162537,2021-01-02,1068778.0,987223.0,5603.0,75952.0
nebraska,167716,107694.0,1668,58354.0,8670.146111885393,2021-01-02,1934408.0,1766692.0,58354.0,109362.0
nevada,227046,,3143,,7371.250027596005,2021-01-02,3080156.0,2853110.0,,
new hampshire,45932,37350.0,759,7823.0,3378.070781217479,2021-01-02,1359711.0,1313779.0,7823.0,38109.0
new jersey,535043,56109.0,19160,459774.0,6023.773416240814,2021-01-02,8882190.0,8347147.0,459774.0,75269.0
new mexico,144142,66638.0,2502,75002.0,6874.284932152312,2021-01-02,2096829.0,1952687.0,75002.0,69140.0
new york,995816,102968.0,37973,854875.0,5118.939406517912,2021-01-02,19453561.0,18457745.0,854875.0,140941.0
north carolina,539545,403488.0,6748,129309.0,5144.361925400292,2021-01-02,10488084.0,9948539.0,129309.0,410236.0
north dakota,92215,89314.0,1316,2140.0,12173.550183580865,2021-01-02,757502.9355395063,665287.9355395063,2140.0,90630.0
northern mariana islands,122,29.0,2,91.0,221.2389380530973,2021-01-02,55144.00000000001,55022.00000000001,91.0,31.0
ohio,700380,556106.0,13766,130508.0,5991.735890701594,2021-01-02,11689100.0,10988720.0,130508.0,569872.0
oklahoma,291209,255843.0,2489,32877.0,7359.391817630202,2021-01-02,3956971.0,3665762.0,32877.0,258332.0
oregon,113909,5870.0,1477,106562.0,2700.713676552142,2021-01-02,4217737.0,4103828.0,106562.0,7347.0
pennsylvania,657071,429017.0,16245,211809.0,5132.56963429667,2021-01-02,12801989.0,12144918.0,211809.0,445262.0
puerto rico,77054,66930.0,1521,8603.0,2412.69201119456,2021-01-02,3193694.0,3116640.0,8603.0,68451.0
rhode island,87949,5381.0,1944,80624.0,8302.080216281325,2021-01-02,1059361.0,971412.0,80624.0,7325.0
south carolina,307507,151084.0,5296,151127.0,5972.501094448051,2021-01-02,5148714.0,4841207.0,151127.0,156380.0
south dakota,99164,91980.0,1488,5696.0,11209.290811487816,2021-01-02,884659.0,785495.0,5696.0,93468.0
tennessee,592168,508914.0,6955,76463.0,8673.55261412288,2021-01-02,6827283.194613831,6235115.194613831,76463.0,515869.0
texas,1822635,1435164.0,28416,356270.0,6276.039689913198,2021-01-02,29041164.333764885,27218529.333764885,356270.0,1463580.0
utah,276612,224439.0,1269,50904.0,8628.060629615235,2021-01-02,3205958.0,2929346.0,50904.0,225708.0
vermont,7412,4959.0,136,2317.0,1187.8414523332942,2021-01-02,623989.0,616577.0,2317.0,5095.0
virgin islands,2036,1901.0,23,112.0,1898.0497445650144,2021-01-02,107268.00000000001,105232.00000000001,112.0,1924.0
virginia,354766,30964.0,5081,318721.0,4156.34948501667,2021-01-02,8535519.0,8180753.0,318721.0,36045.0
washington,246752,,3461,,3240.3869627583736,2021-01-02,7614893.0,7368141.0,,
west virginia,87820,60316.0,1361,26143.0,4900.2676677750205,2021-01-02,1792147.0,1704327.0,26143.0,61677.0
wisconsin,522523,450358.0,5254,66911.0,8974.3052475992,2021-01-02,5822433.999999999,5299910.999999999,66911.0,455612.0
wyoming,44409,42570.0,438,1401.0,7673.142015934093,2021-01-02,578759.0,534350.0,1401.0,43008.0
alabama,369458,202137.0,4872,162449.0,7535.061393767521,2021-01-03,4903185.0,4533727.0,162449.0,207009.0
alaska,47821,7165.0,215,40441.0,6536.986788235857,2021-01-03,731545.0,683724.0,40441.0,7380.0
american samoa,0,,0,,0.0,2021-01-03,,,,
arizona,539150,77867.0,9061,452222.0,7407.212012776427,2021-01-03,7278717.0,6739567.0,452222.0,86928.0
arkansas,231442,203701.0,3729,24012.0,7669.219074532342,2021-01-03,3017804.0,2786362.0,24012.0,207430.0
california,2481294,,26579,,6281.734641961299,2021-01-03,39500140.350170605,37018846.350170605,,
colorado,364645,18217.0,5451,316043.0,5889.695238677376,2021-01-03,6191237.156133171,5826592.156133171,316043.0,23668.0
connecticut,190120,9800.0,6099,174221.0,5332.530031944132,2021-01-03,3565287.0,3375167.0,174221.0,15899.0
delaware,58873,18851.0,1072,38950.0,6045.920777518988,2021-01-03,973764.0,914891.0,38950.0,19923.0
diamond princess,49,,0,,,2021-01-03,,,,
district of columbia,29509,21002.0,792,7715.0,4181.231570997621,2021-01-03,705749.0,676240.0,7715.0,21794.0
florida,1354833,,21890,,6308.080781508778,2021-01-03,21477737.0,20122904.0,,
georgia,685122,,10960,,6452.808746529172,2021-01-03,10617423.0,9932301.0,,
grand princess,103,,3,,,2021-01-03,,,,
guam,7326,7047.0,122,157.0,4460.844308861407,2021-01-03,164229.0,156903.0,157.0,7169.0
hawaii,22448,11958.0,289,10201.0,1585.4540523437147,2021-01-03,1415872.0,1393424.0,10201.0,12247.0
idaho,142199,58649.0,1448,82102.0,7957.125230475668,2021-01-03,1787065.0,1644866.0,82102.0,60097.0
illinois,975352,,18217,,7697.015290856776,2021-01-03,12671821.0,11696469.0,,
indiana,523090,347401.0,9562,166127.0,7769.949254473154,2021-01-03,6732219.0,6209129.0,166127.0,356963.0
iowa,283895,243214.0,3946,36735.0,8998.057095405173,2021-01-03,3155070.0,2871175.0,36735.0,247160.0
kansas,229983,4612.0,2893,222614.0,7898.873928453988,2021-01-03,2911592.2355911504,2681609.2355911504,222614.0,7505.0
kentucky,273970,37273.0,2698,233999.0,6132.275123985126,2021-01-03,4467673.0,4193703.0,233999.0,39971.0
louisiana,315275,263712.0,7488,44075.0,6781.866436757577,2021-01-03,4648794.0,4333519.0,44075.0,271200.0
maine,25245,11438.0,358,13449.0,1878.051973944586,2021-01-03,1344212.0,1318967.0,13449.0,11796.0
maryland,283171,9374.0,5967,267830.0,4683.856902780167,2021-01-03,6045680.0,5762509.0,267830.0,15341.0
massachusetts,384181,261672.0,10589,110007.0,5573.896739689486,2021-01-03,6892503.0,6508322.0,110007.0,272261.0
michigan,538121,363611.0,13306,161204.0,5388.291831954738,2021-01-03,9986857.0,9448736.0,161204.0,376917.0
minnesota,417832,398199.0,5436,14197.0,7408.852208796602,2021-01-03,5639632.0,5221800.0,14197.0,403635.0
mississippi,220277,167263.0,4840,48174.0,7401.410346054583,2021-01-03,2976149.0,2755872.0,48174.0,172103.0
missouri,448387,,5751,,7305.780206301401,2021-01-03,6137428.0,5689041.0,,
montana,81944,75974.0,971,4999.0,7667.073985430089,2021-01-03,1068778.0,986834.0,4999.0,76945.0
nebraska,168262,109705.0,1669,56888.0,8698.371801605452,2021-01-03,1934408.0000000002,1766146.0000000002,56888.0,111374.0
nevada,228871,,3148,,7430.500273362778,2021-01-03,3080156.0,2851285.0,,
new hampshire,46614,37947.0,769,7898.0,3428.228498555943,2021-01-03,1359711.0,1313097.0,7898.0,38716.0
new jersey,541202,56575.0,19187,465440.0,6093.114423357302,2021-01-03,8882190.0,8340988.0,465440.0,75762.0
new mexico,145379,67573.0,2534,75272.0,6933.27877475941,2021-01-03,2096829.0,1951450.0,75272.0,70107.0
new york,1011665,103828.0,38093,869744.0,5200.410351606063,2021-01-03,19453561.0,18441896.0,869744.0,141921.0
north carolina,558437,403488.0,6892,148057.0,5324.490154731789,2021-01-03,10488084.0,9929647.0,148057.0,410380.0
north dakota,92376,89582.0,1317,1992.0,12189.428156764148,2021-01-03,757837.0273977027,665461.0273977027,1992.0,90899.0
northern mariana islands,122,29.0,2,91.0,221.2389380530973,2021-01-03,55144.00000000001,55022.00000000001,91.0,31.0
ohio,714673,573641.0,13919,127113.0,6114.012199399441,2021-01-03,11689100.0,10974427.0,127113.0,587560.0
oklahoma,296343,259841.0,2527,33975.0,7489.137524636901,2021-01-03,3956971.0,3660628.0,33975.0,262368.0
oregon,116348,5870.0,1492,108986.0,2758.540895271564,2021-01-03,4217737.0,4101389.0,108986.0,7362.0
pennsylvania,664966,453531.0,16273,195162.0,5194.239738840582,2021-01-03,12801989.0,12137023.0,195162.0,469804.0
puerto rico,77932,68340.0,1526,8066.0,2440.1836869781514,2021-01-03,3193694.0,3115762.0,8066.0,69866.0
rhode island,87949,5381.0,1957,80611.0,8302.080216281325,2021-01-03,1059361.0,971412.0,80611.0,7338.0
south carolina,312718,152535.0,5385,154798.0,6073.710833423647,2021-01-03,5148714.0,4835996.0,154798.0,157920.0
south dakota,99829,92595.0,1501,5733.0,11284.461018313272,2021-01-03,884658.9999999999,784829.9999999999,5733.0,94096.0
tennessee,599352,523089.0,6970,69462.0,8778.821567586358,2021-01-03,6827248.912461783,6227896.912461783,69462.0,530059.0
texas,1827427,1443061.0,28570,353053.0,6292.466160969553,2021-01-03,29041506.990296267,27214079.990296267,353053.0,1471631.0
utah,281654,230287.0,1294,50073.0,8785.330313123253,2021-01-03,3205958.0,2924304.0,50073.0,231581.0
vermont,7689,5188.0,139,2362.0,1232.2332605222207,2021-01-03,623989.0,616300.0,2362.0,5327.0
virgin islands,2041,1901.0,23,117.0,1902.7109669239665,2021-01-03,107267.99999999999,105226.99999999999,117.0,1924.0
virginia,358755,31182.0,5117,322456.0,4203.083608624151,2021-01-03,8535519.0,8176764.0,322456.0,36299.0
washington,246752,,3461,,3240.3869627583736,2021-01-03,7614893.0,7368141.0,,
west virginia,89327,61120.0,1373,26834.0,4984.356751985189,2021-01-03,1792147.0,1702820.0,26834.0,62493.0
wisconsin,523652,452502.0,5256,65894.0,8993.695763661726,2021-01-03,5822434.0,5298782.0,65894.0,457758.0
wyoming,44573,43037.0,438,1098.0,7701.478508325573,2021-01-03,578759.0,534186.0,1098.0,43475.0
alabama,371934,202137.0,4873,164924.0,7585.559182449775,2021-01-04,4903185.0,4531251.0,164924.0,207010.0
alaska,48118,7165.0,215,40738.0,6577.585794448735,2021-01-04,731545.0,683427.0,40738.0,7380.0
american samoa,0,,0,,0.0,2021-01-04,,,,
arizona,556384,78690.0,9061,468633.0,7643.984509907446,2021-01-04,7278717.0,6722333.0,468633.0,87751.0
arkansas,233475,203701.0,3749,26025.0,7736.585941300363,2021-01-04,3017804.0,2784329.0,26025.0,207450.0
california,2512665,,26661,,6361.120203234325,2021-01-04,39500354.0213315,36987689.0213315,,
colorado,366506,18305.0,5464,318011.0,5925.779546067053,2021-01-04,6184941.527958975,5818435.527958975,318011.0,23769.0
connecticut,190120,9800.0,6099,174221.0,5332.530031944132,2021-01-04,3565287.0,3375167.0,174221.0,15899.0
delaware,59484,18851.0,1080,39553.0,6108.666987072843,2021-01-04,973764.0,914280.0,39553.0,19931.0
diamond princess,49,,0,,,2021-01-04,,,,
district of columbia,29764,21072.0,794,7898.0,4217.363396901731,2021-01-04,705749.0000000001,675985.0000000001,7898.0,21866.0
florida,1365436,,21987,,6357.448179945587,2021-01-04,21477737.0,20112301.0,,
georgia,690900,,10964,,6507.228731491625,2021-01-04,10617423.0,9926523.0,,
grand princess,103,,3,,,2021-01-04,,,,
guam,7326,7047.0,122,157.0,4460.844308861407,2021-01-04,164229.0,156903.0,157.0,7169.0
hawaii,22560,11958.0,289,10313.0,1593.3643719206257,2021-01-04,1415872.0,1393312.0,10313.0,12247.0
idaho,142507,60164.0,1448,80895.0,7974.360193949296,2021-01-04,1787065.0,1644558.0,80895.0,61612.0
illinois,979821,,18322,,7732.282518826615,2021-01-04,12671821.0,11692000.0,,
indiana,526071,348425.0,9625,168021.0,7814.228859756345,2021-01-04,6732219.0,6206148.0,168021.0,358050.0
iowa,284715,244021.0,3946,36748.0,9024.04701005049,2021-01-04,3155070.0,2870355.0,36748.0,247967.0
kansas,229983,4612.0,2893,222614.0,7898.873928453988,2021-01-04,2911592.2355911504,2681609.2355911504,222614.0,7505.0
kentucky,276825,37375.0,2723,236727.0,6196.178637066769,2021-01-04,4467673.0,4190848.0,236727.0,40098.0
louisiana,321058,263712.0,7537,49809.0,6906.264291340937,2021-01-04,4648794.0,4327736.0,49809.0,271249.0
maine,25592,11465.0,359,13768.0,1903.8663544143333,2021-01-04,1344212.0000000002,1318620.0000000002,13768.0,11824.0
maryland,285319,9378.0,5994,269947.0,4719.386404837835,2021-01-04,6045680.0,5760361.0,269947.0,15372.0
massachusetts,387662,261672.0,10683,113380.0,5624.400888907847,2021-01-04,6892503.0,6504841.0,113380.0,272355.0
michigan,538121,363611.0,13306,161204.0,5388.291831954738,2021-01-04,9986857.0,9448736.0,161204.0,376917.0
